countryLabel,governmentLabel,hdi,population,gdpPerCapita,continentLabel
Q139656941,монархия,,,,
Австралия,конституционная монархия,0.951,27614411,54348.23,Австралия и Океания
Австралия,федеративное государство,0.951,27614411,54348.23,Австралия и Океания
Австралия,представительная демократия,0.951,27614411,54348.23,Австралия и Океания
Австрия,республика,0.916,8979894,,Европа
Австрия,смешанная республика,0.916,8979894,,Европа
Австрия,федеративная парламентская республика,0.916,8979894,,Европа
Азербайджан,республика,0.745,10180770,,Азия
Азербайджан,смешанная республика,0.745,10180770,,Азия
Азербайджан,унитарное государство,0.745,10180770,,Азия
Албания,парламентская система,0.796,2811655,,Европа
Алжир,смешанная республика,0.745,46164219,,Африка
Алжир,народная республика,0.745,46164219,,Африка
Англия,конституционная монархия,,53012456,,Европа
Англия,парламентская монархия,,53012456,,Европа
Англия,конституционная монархия,,57106398,,Европа
Англия,парламентская монархия,,57106398,,Европа
Ангола,республика,0.586,36749906,,Африка
Ангола,президентская республика,0.586,36749906,,Африка
Андорра,parliamentary coprincipality,0.884,87486,,Европа
Антигуа и Барбуда,конституционная монархия,0.851,101489,,Северная Америка
Аргентина,федеративная республика,0.842,47327407,,Южная Америка
Армения,республика,0.759,2930450,,Азия
Армения,парламентская система,0.759,2930450,,Азия
Армения,унитарное государство,0.759,2930450,,Азия
Аруба,монархия,,106739,,Северная Америка
Афганистан,унитарное государство,0.478,41454761,,Азия
Афганистан,эмират,0.478,41454761,,Азия
Афганистан,исламская теократия,0.478,41454761,,Азия
Багамские Острова,конституционная монархия,0.812,399440,,Северная Америка
Бангладеш,Вестминстерская система,0.661,171466990,,Азия
Бангладеш,парламентская республика,0.661,171466990,,Азия
Барбадос,унитарное государство,0.79,303431,18798,Северная Америка
Барбадос,парламентская республика,0.79,303431,18798,Северная Америка
Бахрейн,конституционная монархия,0.875,1569666,,Азия
Беларусь,республика,0.808,9056080,,Европа
Беларусь,президентская республика,0.808,9056080,,Европа
Белиз,конституционная монархия,0.683,411106,,Северная Америка
Белиз,парламентская монархия,0.683,411106,,Северная Америка
Бельгия,федеративное государство,0.937,11825551,,Европа
Бенин,республика,0.525,14111034,,Африка
Болгария,парламентская республика,0.799,6437360,,Европа
Боливия,республика,0.692,12244159,,Южная Америка
Боливия,парламентская республика,0.692,12244159,,Южная Америка
Босния,,,,,
Босния и Герцеговина,республика,0.78,3816459,,Европа
Босния и Герцеговина,федеративная республика,0.78,3816459,,Европа
Ботсвана,парламентская республика,0.693,2480244,6710.99,Африка
Бразилия,президентская республика,0.754,213421037,,Южная Америка
Бразилия,представительная демократия,0.754,213421037,,Южная Америка
Бразилия,федеративная республика,0.754,213421037,,Южная Америка
Бруней,унитарное государство,0.829,458949,,Азия
Бруней,абсолютная монархия,0.829,458949,,Азия
Бруней,исламское государство,0.829,458949,,Азия
Буркина-Фасо,республика,0.449,23025776,,Африка
Буркина-Фасо,военная хунта,0.449,23025776,,Африка
Бурунди,президентская республика,0.426,13689450,,Африка
Бурунди,представительная демократия,0.426,13689450,,Африка
Бутан,конституционная монархия,0.666,787424,,Азия
Вануату,,0.607,300019,,Океания
Ватикан,конституционная монархия,,882,,Европа
Ватикан,теократия,,882,,Европа
Ватикан,папство,,882,,Европа
Великобритания,конституционная монархия,0.929,67326569,,Европа
Венгрия,парламентская республика,0.846,9603634,37128,Европа
Венесуэла,президентская республика,0.691,31250306,,Южная Америка
Венесуэла,федеративная республика,0.691,31250306,,Южная Америка
Восточный Тимор,республика,0.607,1243235,,Азия
Восточный Тимор,смешанная республика,0.607,1243235,,Азия
Восточный Тимор,унитарное государство,0.607,1243235,,Азия
Вьетнам,республика,0.703,96208984,,Азия
