country,countryLabel,governmentLabel,hdi,gdpPerCapita,continentLabel
http://www.wikidata.org/entity/Q139656941,Q139656941,монархия,,,
http://www.wikidata.org/entity/Q408,Австралия,конституционная монархия,0.951,54348.23,Австралия и Океания
http://www.wikidata.org/entity/Q408,Австралия,федеративное государство,0.951,54348.23,Австралия и Океания
http://www.wikidata.org/entity/Q408,Австралия,представительная демократия,0.951,54348.23,Австралия и Океания
http://www.wikidata.org/entity/Q40,Австрия,республика,0.916,,Европа
http://www.wikidata.org/entity/Q40,Австрия,смешанная республика,0.916,,Европа
http://www.wikidata.org/entity/Q40,Австрия,федеративная парламентская республика,0.916,,Европа
http://www.wikidata.org/entity/Q227,Азербайджан,республика,0.745,,Азия
http://www.wikidata.org/entity/Q227,Азербайджан,смешанная республика,0.745,,Азия
http://www.wikidata.org/entity/Q227,Азербайджан,унитарное государство,0.745,,Азия
http://www.wikidata.org/entity/Q222,Албания,парламентская система,0.796,,Европа
http://www.wikidata.org/entity/Q262,Алжир,смешанная республика,0.745,,Африка
http://www.wikidata.org/entity/Q262,Алжир,народная республика,0.745,,Африка
http://www.wikidata.org/entity/Q21,Англия,конституционная монархия,,,Европа
http://www.wikidata.org/entity/Q21,Англия,парламентская монархия,,,Европа
http://www.wikidata.org/entity/Q916,Ангола,республика,0.586,,Африка
http://www.wikidata.org/entity/Q916,Ангола,президентская республика,0.586,,Африка
http://www.wikidata.org/entity/Q228,Андорра,parliamentary coprincipality,0.884,,Европа
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,конституционная монархия,0.851,,Северная Америка
http://www.wikidata.org/entity/Q414,Аргентина,федеративная республика,0.842,,Южная Америка
http://www.wikidata.org/entity/Q399,Армения,республика,0.759,,Азия
http://www.wikidata.org/entity/Q399,Армения,парламентская система,0.759,,Азия
http://www.wikidata.org/entity/Q399,Армения,унитарное государство,0.759,,Азия
http://www.wikidata.org/entity/Q21203,Аруба,монархия,,,Северная Америка
http://www.wikidata.org/entity/Q889,Афганистан,унитарное государство,0.478,,Азия
http://www.wikidata.org/entity/Q889,Афганистан,эмират,0.478,,Азия
http://www.wikidata.org/entity/Q889,Афганистан,исламская теократия,0.478,,Азия
http://www.wikidata.org/entity/Q1061057,Ачех,абсолютная монархия,,,
http://www.wikidata.org/entity/Q778,Багамские Острова,конституционная монархия,0.812,,Северная Америка
http://www.wikidata.org/entity/Q902,Бангладеш,Вестминстерская система,0.661,,Азия
http://www.wikidata.org/entity/Q902,Бангладеш,парламентская республика,0.661,,Азия
http://www.wikidata.org/entity/Q244,Барбадос,унитарное государство,0.79,18798,Северная Америка
http://www.wikidata.org/entity/Q244,Барбадос,парламентская республика,0.79,18798,Северная Америка
http://www.wikidata.org/entity/Q398,Бахрейн,конституционная монархия,0.875,,Азия
http://www.wikidata.org/entity/Q184,Беларусь,республика,0.808,,Европа
http://www.wikidata.org/entity/Q184,Беларусь,президентская республика,0.808,,Европа
http://www.wikidata.org/entity/Q242,Белиз,конституционная монархия,0.683,,Северная Америка
http://www.wikidata.org/entity/Q242,Белиз,парламентская монархия,0.683,,Северная Америка
http://www.wikidata.org/entity/Q31,Бельгия,федеративное государство,0.937,,Европа
http://www.wikidata.org/entity/Q962,Бенин,республика,0.525,,Африка
http://www.wikidata.org/entity/Q219,Болгария,парламентская республика,0.799,,Европа
http://www.wikidata.org/entity/Q750,Боливия,республика,0.692,,Южная Америка
http://www.wikidata.org/entity/Q750,Боливия,парламентская республика,0.692,,Южная Америка
http://www.wikidata.org/entity/Q188736,Босния,,,,
http://www.wikidata.org/entity/Q225,Босния и Герцеговина,республика,0.78,,Европа
http://www.wikidata.org/entity/Q225,Босния и Герцеговина,федеративная республика,0.78,,Европа
http://www.wikidata.org/entity/Q963,Ботсвана,парламентская республика,0.693,6710.99,Африка
http://www.wikidata.org/entity/Q155,Бразилия,президентская республика,0.754,,Южная Америка
http://www.wikidata.org/entity/Q155,Бразилия,представительная демократия,0.754,,Южная Америка
http://www.wikidata.org/entity/Q155,Бразилия,федеративная республика,0.754,,Южная Америка
http://www.wikidata.org/entity/Q921,Бруней,унитарное государство,0.829,,Азия
